created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon Jan 08 01:40:30 +0000 2024,1744172193083482263,Mari kita wujudkan Pemilu 2024 yang aman dan damai  #SukseskanPemilu2024   Viralin #GDA2024 Korea Fansite #MyDemonEp12 #DeathsGame RIIZE IS 7 #WelcomeToSamdalriEp11 CONGRATULATIONS JUNGKOOK Tidur https://t.co/1I36odmRjD,0,0,0,0,in,1448403464,1744172193083482263,evaristo_ella,https://twitter.com/evaristo_ella/status/1744172193083482263
Mon Jan 08 01:40:04 +0000 2024,1744172081561166035,"Bad attitude bgt sih di negara orang, emang gatau KLO peraturannya ga boleh bawa kamera? 😏 #GDA2024 Lihat video Radio Elshinta! #TikTok https://t.co/xB7We5FqtL",0,0,0,0,in,3252407420,1744172081561166035,niswahmajidah14,https://twitter.com/niswahmajidah14/status/1744172081561166035
Mon Jan 08 01:38:43 +0000 2024,1744171744087408720,Cara anak muda menyikapi Pemilu di tahun 2024  #SukseskanPemilu2024   Viralin #GDA2024 Korea Fansite #MyDemonEp12 #DeathsGame RIIZE IS 7 #WelcomeToSamdalriEp11 CONGRATULATIONS JUNGKOOK Tidur https://t.co/AGGUqOtg5O,0,0,0,0,in,1448403464,1744171744087408720,evaristo_ella,https://twitter.com/evaristo_ella/status/1744171744087408720
Mon Jan 08 01:37:14 +0000 2024,1744171368563024234,ユーネクリトライ契約したのに何もみずに残りあと１０日になってた💦 と思ってたら #GDA2024 見逃し配信してたので早速🎵 ブソクスンにybパイセンとの生バンドコラボなルセラのステージ楽しかったぁ～💞 やっぱ被せ控えめ生声堪能できるステージが面白い～🎶  https://t.co/FoIS4pseWq,0,1,0,0,ja,1131726408395264000,1744171368563024234,eri_ngi_kinoko,https://twitter.com/eri_ngi_kinoko/status/1744171368563024234
Mon Jan 08 01:20:52 +0000 2024,1744167251241218314,本日から再開！ GDA2024のスタイリング NewJeansとIVEが優勝してましたね！(ヨジャグルだけね) とにかくこの2グループは衣装外す回数少ないですね☺️ ニュジとアイブは安定と言うか それと衣装だけじゃなくてメイクやヘアーセットも完璧の完璧子ちゃんだね！,0,1,0,0,ja,922334144918458368,1744167251241218314,omo1151,https://twitter.com/omo1151/status/1744167251241218314
Mon Jan 08 01:10:31 +0000 2024,1744164647589339506,Ga yakin kek nya ga tulus deh #GDA2024,0,0,0,2,in,1422525973254180864,1744164647589339506,jhi_30,https://twitter.com/jhi_30/status/1744164647589339506
Mon Jan 08 01:10:08 +0000 2024,1744164550507962387,ユネクでGDA見逃し配信やってるのね😳‼️ #pr  📅1/6 ゴールデンディスクアワード  初回31日お試し無料✨ 💎NANA TOUR with SEVENTEENも見放題💕  ▶️https://t.co/9hB4geMxsD  セブチ、スキズ、ルセラ、ゼベワン エナプ、トゥバ　他 #GDA2024 #StrayKids #SEVENTEEN #ZEROBASEONE 1/8現在,0,0,0,0,ja,1650756122679349248,1744164550507962387,rupyneko,https://twitter.com/rupyneko/status/1744164550507962387
Mon Jan 08 01:08:31 +0000 2024,1744164143413055698,"💕 Giveaway 2 Album only seventeen 💕  Tepat 8 Januari ini aku ulang tahun, sekalian merayakan seventeen Daesang GDA 2024 🥰  ✅ Syarat: wajib RT + Like + Comment  Comment apapun itu untuk aku ataupun seventeen 🩵🩷 jangan lupa pilih set FML A//17th heaven 10:23pm  End: 20-01-24 https://t.co/Gxz5ADatOI",0,5,5,4,in,1369693872440307713,1744164143413055698,hybe_ran,https://twitter.com/hybe_ran/status/1744164143413055698
Mon Jan 08 01:05:00 +0000 2024,1744163256628019251,He was so damn attractive that night! can't believe I saw him dancing like this with my own eyes. 🤟🏼🩷 #Hyunjin #GDA2024 #GDAinJakarta  https://t.co/xbKjiNEd9j,0,0,1,3,en,478185060,1744163256628019251,deamidala,https://twitter.com/deamidala/status/1744163256628019251
Mon Jan 08 01:04:51 +0000 2024,1744163218812182561,What REALLY Happened: Korean “Daeris” Shameful Violence at GDA 2024 Jakarta – The FULL Story https://t.co/SZOavnY8JW #kpop #kpopnews #kpoptwt #kpoptwitter #KPOPPOST #koreanupdates #GDAinJAKARTA #GoldenDiscAwards #GoldenDiscAwards2024 #GDA2024 #GDA #goldendisc #violence #fansite,0,0,0,0,en,1237962581253357569,1744163218812182561,kpopppost,https://twitter.com/kpopppost/status/1744163218812182561
Mon Jan 08 01:01:31 +0000 2024,1744162383977988481,#GDA2024 #GDAJAKARTA #viral,0,0,0,0,qht,283920469,1744161332038189317,namaku_nandes,https://twitter.com/namaku_nandes/status/1744162383977988481
Mon Jan 08 00:58:33 +0000 2024,1744161634594296220,長男成人式へ  メンズは楽でいいわ～ 大学入学式用に買ったスーツに パパはんのトレンチコート👍️  昨日まで実感なかったけど いざ成人式行く後ろ姿見たら 大きくなったんだなぁ…と😢  ヲタク母ちゃん 全く変わってないけど 母20周年なんだねぇ とジワジワくるな…  さ！GDA2024📺️DVD編集しよか https://t.co/xLwXQt2qob,0,0,0,1,ja,96285739,1744161634594296220,ayayaoyaya,https://twitter.com/ayayaoyaya/status/1744161634594296220
Mon Jan 08 00:48:32 +0000 2024,1744159116132827222,かわいいすぎる温度差。わからんよな。先輩盛り上がりすぎてwww #GDA2024 #SEVENTEEN  https://t.co/PIIisQBo47,0,0,0,1,ja,1081691358157389824,1744159116132827222,eunwoo_yume,https://twitter.com/eunwoo_yume/status/1744159116132827222
Mon Jan 08 00:46:19 +0000 2024,1744158555593412899,06.01.24 Megaverse Keren banget kalian 🥺 Nanti kita nyanyi bareng pas WT3 ya  #StrayKids  #GDA2024  #GDAinJakarta https://t.co/ZiD0zrSjp3,0,0,0,0,in,77404193,1744153369814745538,febiamr,https://twitter.com/febiamr/status/1744158555593412899
Mon Jan 08 00:41:20 +0000 2024,1744157302809366990,"Bak Langit Bumi, Netizen Bandingkan Kelakuan Fansite Idol GDA dan Band LUCY: Orang Korea Versi Waras… #GDA2024 #LUCY #GoldenDiscAwards2024   https://t.co/MXxZ2lhEHC",33,0,22,49,in,972179486,1744157302809366990,KpopChartNet,https://twitter.com/KpopChartNet/status/1744157302809366990
Mon Jan 08 00:40:43 +0000 2024,1744157149616652693,"@daeri_hrb KUKIRA ORANG KOREA SDM NYA TINGGI , KARNA NEGARA MAJU. TERNYATA ADA ORANG KOREA YANG SDM RENDAH KEK KAU!! BAHKAN LEBIH RENDAH DARI BINATANG! . KEK HIDUP GAK PUNYA ATURAN  #Korea #GDA2024 #korean",0,0,0,0,in,930917012,1744157149616652693,002_aiar,https://twitter.com/002_aiar/status/1744157149616652693
Mon Jan 08 00:39:29 +0000 2024,1744156837665186272,it’s as if he’s performing just for you…  #HAN #한 #ハン #GDA2024 #HanJisung #한지성 https://t.co/ZonB4cU1si,0,0,0,6,en,542173757,1744156837665186272,XyzMPatricia,https://twitter.com/XyzMPatricia/status/1744156837665186272
Mon Jan 08 00:35:37 +0000 2024,1744155865631068407,"Kelakuannya sperti Shibal,begini lah sifat asli org Korea,yg ga pnya ATTITUDE,klo ga mw di gtukan,mkanya taat aturan negara org,udh di negara Indonesia bkin kerusuhan,di ksih tw yg bner ngasih JARI TENGAH,emng otaknya kosong😌😌 #korean #GDA2024 #GDAinJakarta #SBS뉴스 #GDA https://t.co/7VeX5LYh4J",0,0,0,1,in,1613069565935906818,1744155865631068407,NurhalizaMauly1,https://twitter.com/NurhalizaMauly1/status/1744155865631068407
Mon Jan 08 00:34:52 +0000 2024,1744155676719624576,😉  #HAN #한 #ハン #GDA2024 #HanJisung #한지성 https://t.co/IEiyjJobHG,0,0,0,1,qme,542173757,1744155676719624576,XyzMPatricia,https://twitter.com/XyzMPatricia/status/1744155676719624576
Mon Jan 08 00:26:34 +0000 2024,1744153588488908803,“every time we move the universe will follow~~”  #HAN #한 #ハン #GDA2024 #HanJisung #한지성 https://t.co/YnkagHmloh,0,0,0,1,en,542173757,1744153588488908803,XyzMPatricia,https://twitter.com/XyzMPatricia/status/1744153588488908803
Mon Jan 08 00:25:42 +0000 2024,1744153369814745538,06.01.24 Megaverse Hwang Hyunjin born to be a Great Dancer.. keren banget  #StrayKids #GDA2024  #GDAinJakarta https://t.co/Rr7bAzXvLy,0,1,0,1,en,77404193,1744153369814745538,febiamr,https://twitter.com/febiamr/status/1744153369814745538
Mon Jan 08 00:20:12 +0000 2024,1744151983609762257,✨HAN✨  이 사진 너무 아름답다  #HAN #한 #ハン #GDA2024 #HanJisung #한지성 https://t.co/K42hhH8FEe,0,0,0,1,ko,542173757,1744151983609762257,XyzMPatricia,https://twitter.com/XyzMPatricia/status/1744151983609762257
Mon Jan 08 00:18:07 +0000 2024,1744151459187548331,mau record vod gda 2024 yang murce dong,0,0,0,0,tl,1353141625485025280,1744151459187548331,seunseoki,https://twitter.com/seunseoki/status/1744151459187548331
Mon Jan 08 00:17:40 +0000 2024,1744151347950170193,38º Golden Disc Awards  Fancam 🫶🏼 #Leejunho ❤️   TikTok @ boboholokal   이준호 #GDA #GDAJAKARTA #2pm #KingTheLand  #GDA2024 #GDAinJakarta #다시_만나는_날 #2024_LEEJUNHO_CONCERT https://t.co/yjrGq7MDpb,0,0,17,52,in,1610024355433422865,1744151347950170193,Aam43654301,https://twitter.com/Aam43654301/status/1744151347950170193
Mon Jan 08 00:16:07 +0000 2024,1744150954969297177,GDA2024いい画質がyoutubeにない🥺と思ってたら見逃し配信あった💦 1回観たのにまた初めて観た気分♡ ダンスブレイクでもう2曲終わったのかと思った♡エナプみたいに男性アイドルとしてこれ以上かっこいい➕美しいコンセプトでそれに合わせられる容姿と逸材出てこない気がする♡  #ENHYPEN #GDA2024,0,0,0,0,ja,1178267754685591554,1744150954969297177,ElephantBear7,https://twitter.com/ElephantBear7/status/1744150954969297177
Mon Jan 08 00:14:37 +0000 2024,1744150580199899603,งานบวชหลานชาย     https://t.co/mNR6TGS5DM ฝากรีทวีตฝากติดตามด้วยคะ   #แอมมี่ #แบนเบียร์เดอะวอยส์ #คบกันตอนไหน  #ohmpawat #TGAT #CherryMagicTHep4  #TheSignEP7 #สมุดหนังหมาHayDay #เตนิว  #เปิดกล้องMyLoveMixUpTH #GDA2024 #คริสสิงโต https://t.co/K3KnFWJDDu,0,0,0,0,th,1698261126218407936,1744150580199899603,WSrang44161,https://twitter.com/WSrang44161/status/1744150580199899603
Mon Jan 08 00:13:41 +0000 2024,1744150344635199758,cakep bgt dia tuh #ENHYPEN #GDA2024 #GDAinJakarta,0,0,0,0,in,1277888927802683392,1744150344635199758,intansita27,https://twitter.com/intansita27/status/1744150344635199758
Mon Jan 08 00:03:11 +0000 2024,1744147700512330144,✨️240106 Golden Disc Awards  the prince itself   #GoldenDiscAwards #SEVENTEEN #세븐틴 #VERNON #버논 #GDA2024 #GDAinJakarta https://t.co/DFLrcPj5ak,0,0,3,12,en,1725056470620962816,1744147700512330144,kwaniverse_,https://twitter.com/kwaniverse_/status/1744147700512330144
Mon Jan 08 00:00:31 +0000 2024,1744147030916862122,"I love seeing Seungcheol. If he will not be here for ftb then I’m still happy for GDA 2024 Seungcheol’s presence. He just made everything seem fine. Thank you for coming back so fast, even miracles would be surprised. 💗 https://t.co/p6HpPIwZFy",0,0,0,0,en,1396664290292031494,1744147030916862122,ikonic_mc,https://twitter.com/ikonic_mc/status/1744147030916862122
Sun Jan 07 23:59:17 +0000 2024,1744146718583845003,GDA Photo dump Seventeen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/9YvCokUikk,0,0,0,1,tl,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744146718583845003
Sun Jan 07 23:58:07 +0000 2024,1744146425028706550,GDA Photo dump Seventeen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/oTxVdcIlTW,0,1,0,1,tl,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744146425028706550
Sun Jan 07 23:57:57 +0000 2024,1744146385581359220,局長が次の寄り添い配信でニキペンの事取り上げるよーって🥺 この配信でもいつもの調子で語ってくれてるよ！！  【GDA2024感想会】本音で語るから荒れるかも【ENHYPEN Stray Kids TXT SEVENTEEN NewJeans LE SS... https://t.co/L3qgbzHv0t @YouTubeより,0,0,0,2,ja,1599295947485638656,1744146385581359220,ymm0316_wonki,https://twitter.com/ymm0316_wonki/status/1744146385581359220
Sun Jan 07 23:57:18 +0000 2024,1744146223114973659,GDA Photo dump Seventeen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/JKCMgOGcgi,0,1,0,0,tl,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744146223114973659
Sun Jan 07 23:56:22 +0000 2024,1744145987734774080,GDA Photo dump Seventeen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/8n7xd7sn2x,0,1,0,1,tl,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744145987734774080
Sun Jan 07 23:55:26 +0000 2024,1744145751096389732,GDA Photo dump Seventeen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/6dhtWA4fN9,0,1,0,0,tl,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744145751096389732
Sun Jan 07 23:54:09 +0000 2024,1744145428940251222,GDA Photo dump Seventeen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/Nkbvyy8TSC,0,1,0,0,tl,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744145428940251222
Sun Jan 07 23:52:05 +0000 2024,1744144908708180383,Tetap semangat Jepang Barat Korea Fansite Indonesia Pasutri Gaje #GDA2024 #4niesJ4njiM4nis #nazarpemilu Minggu Malming Kebun #DebatCapres #WelcomeToSamdalriEp11 SEVENTEEN Pi Cheolin #ONEPIECE1089 Pentagon Jake #gibranlanjutkanjkw facial wash,0,0,0,1,in,825931798764871680,1744144908708180383,AminudinRashya,https://twitter.com/AminudinRashya/status/1744144908708180383
Sun Jan 07 23:51:54 +0000 2024,1744144860863738100,ENHYPEN GDA2024 Fate BiteMe SweetVenom ※VPN繋がないと見れません https://t.co/MJmBqdlJwR,0,0,0,0,ja,1695064760386027522,1744144446277730624,nalgae0328_,https://twitter.com/nalgae0328_/status/1744144860863738100
Sun Jan 07 23:51:24 +0000 2024,1744144737056243776,butuh aransemen fighting gda 2024 ft picheolin on spotify im so serious @pledis_17,0,0,0,0,en,1563466127274942471,1744144737056243776,kwanbboo,https://twitter.com/kwanbboo/status/1744144737056243776
Sun Jan 07 23:50:43 +0000 2024,1744144563953144318,GDA Photo dump Seventeen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/CVkXOqZw3O,0,1,0,1,tl,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744144563953144318
Sun Jan 07 23:50:15 +0000 2024,1744144446277730624,私が夜中に探せたのはこれが限界でした... 見つけられたのはGAKU、HAKU、SHINだけ また探し直すつもりではいるけどとりあえず途中経過を... 間違えてたら教えてください🙏 #24組 #GDA2024 https://t.co/xPaiDkRyiI,0,1,0,0,ja,1695064760386027522,1744144446277730624,nalgae0328_,https://twitter.com/nalgae0328_/status/1744144446277730624
Sun Jan 07 23:48:50 +0000 2024,1744144091074761001,GDA Photo dump Seventeen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/afaRI0FesP,0,1,0,0,tl,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744144091074761001
Sun Jan 07 23:47:59 +0000 2024,1744143875600691457,GDA'2024 https://t.co/huiq4pNxoK,0,0,0,0,und,1574442499,1744143875600691457,siskaaprmwt,https://twitter.com/siskaaprmwt/status/1744143875600691457
Sun Jan 07 23:47:34 +0000 2024,1744143770961277199,ima best ever🫶 #SEVENTEEN #GoldenDiscAwards2024 #GDAinJakarta #GDA2024 https://t.co/dBUkGXdCPj,0,0,0,0,en,1212344554046681089,1744143770961277199,aaalint_,https://twitter.com/aaalint_/status/1744143770961277199
Sun Jan 07 23:47:21 +0000 2024,1744143718796722669,GDA Photo dump Seventeen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/GJt8FOlZcu,0,1,0,0,tl,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744143718796722669
Sun Jan 07 23:47:06 +0000 2024,1744143654674121179,Ketika indonesia dan korea mutual 🤝#GDA2024 #GDAinJakarta,0,0,0,0,in,1409187903234711553,1744143654674121179,chaai171,https://twitter.com/chaai171/status/1744143654674121179
Sun Jan 07 23:46:23 +0000 2024,1744143474302329261,GDA Photo dump Seventeen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/oQkaRAkMbI,0,1,0,0,tl,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744143474302329261
Sun Jan 07 23:44:46 +0000 2024,1744143065387057581,GDA Photo dump Seventeen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/eOnbguzfe0,0,1,0,0,tl,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744143065387057581
Sun Jan 07 23:44:46 +0000 2024,1744143065286426786,"one of my core memories kemarin, di notice keena🥹🖤 i screamed “neomu yeppeo!” trus dia jawab “gomawoyoo~” AAAH😭 2nd vid ada pov dari media, ternyata teriakan gue lumayan kedengeran bgt😭   #KEENA #GLOBALDISCAWARDS  #GDA2024 #GDAinJAKARTA https://t.co/MXTLgG7SSE",0,0,0,1,in,1371107739670224898,1744143065286426786,myshinyuna,https://twitter.com/myshinyuna/status/1744143065286426786
Sun Jan 07 23:40:15 +0000 2024,1744141930324451467,"Seoul Music Awards 2024 Hingga GDA 2024, BTS Disebut Pengaruhi Jumlah Penonton di Acara Awards! #BTS #SeoulMusicAwards #GDA2024   https://t.co/IFyrmBXrlM",0,0,0,1,in,972179486,1744141930324451467,KpopChartNet,https://twitter.com/KpopChartNet/status/1744141930324451467
Sun Jan 07 23:39:48 +0000 2024,1744141819322257896,GDA Photo dump Enhypen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/xhZbiq5CRv,0,1,0,0,fr,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744141819322257896
Sun Jan 07 23:38:38 +0000 2024,1744141523837460535,📸 Fotos de Stray Kids en los GDA 2024  #StrayKids #스트레이키즈 https://t.co/7CrzrWWTrs,0,0,0,0,es,1708195405022842880,1744141393541423144,hyuneskz,https://twitter.com/hyuneskz/status/1744141523837460535
Sun Jan 07 23:38:36 +0000 2024,1744141513477787742,GDA Photo dump Enhypen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/8l0fLh2xI1,0,1,0,1,fr,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744141513477787742
Sun Jan 07 23:38:35 +0000 2024,1744141511204221247,📸 Fotos de Stray Kids en los GDA 2024  #StrayKids #스트레이키즈 ↓ https://t.co/2TUsOk5Ddl,0,1,0,0,es,1708195405022842880,1744141393541423144,hyuneskz,https://twitter.com/hyuneskz/status/1744141511204221247
Sun Jan 07 23:38:30 +0000 2024,1744141490878619690,📸 Fotos de Stray Kids en los GDA 2024  #StrayKids #스트레이키즈 ↓ https://t.co/q7d86olkjQ,0,1,0,0,es,1708195405022842880,1744141393541423144,hyuneskz,https://twitter.com/hyuneskz/status/1744141490878619690
Sun Jan 07 23:38:25 +0000 2024,1744141468657127525,📸 Fotos de Stray Kids en los GDA 2024  #StrayKids #스트레이키즈 ↓ https://t.co/hClb377lmZ,0,1,0,0,es,1708195405022842880,1744141393541423144,hyuneskz,https://twitter.com/hyuneskz/status/1744141468657127525
Sun Jan 07 23:38:19 +0000 2024,1744141443952750927,📸 Fotos de Stray Kids en los GDA 2024  #StrayKids #스트레이키즈 ↓ https://t.co/qkTZgfBCQe,0,1,0,0,es,1708195405022842880,1744141393541423144,hyuneskz,https://twitter.com/hyuneskz/status/1744141443952750927
Sun Jan 07 23:38:12 +0000 2024,1744141413556572669,📸 Fotos de Stray Kids en los GDA 2024  #StrayKids #스트레이키즈 ↓ https://t.co/RArLZ1Sx2e,0,1,0,0,es,1708195405022842880,1744141393541423144,hyuneskz,https://twitter.com/hyuneskz/status/1744141413556572669
Sun Jan 07 23:38:07 +0000 2024,1744141393541423144,📸 Fotos de Stray Kids en los GDA 2024  →https://t.co/iGIzvYm9ww  #StrayKids #스트레이키즈 ↓ https://t.co/B4ReJkR8Pq,0,1,0,1,es,1708195405022842880,1744141393541423144,hyuneskz,https://twitter.com/hyuneskz/status/1744141393541423144
Sun Jan 07 23:37:34 +0000 2024,1744141254076907659,GDA Photo dump Enhypen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/rtMBPq9oTV,0,1,0,1,fr,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744141254076907659
Sun Jan 07 23:36:52 +0000 2024,1744141077370826833,GDA Photo dump Enhypen (Enha x TXT interaction)  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/JjD9PkUCbU,0,1,0,0,en,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744141077370826833
Sun Jan 07 23:36:42 +0000 2024,1744141036832915905,he got heartbroken by a girl (chunsun) and he couldn't move on so he became a CEO who officially released a song (with svt's famous producer-Woozi) then made his official debut as a rapper on GDA 2024,0,0,0,0,en,1599805329276928005,1744141036832915905,mingyursonly,https://twitter.com/mingyursonly/status/1744141036832915905
Sun Jan 07 23:35:58 +0000 2024,1744140853764149433,GDA Photo dump Enhypen (Enha x TXT interction)  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/GEIMqIXJk6,0,1,0,0,en,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744140853764149433
Sun Jan 07 23:34:53 +0000 2024,1744140579599220912,GDA Photo dump Enhypen  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/a7ZNjwvKRB,0,1,0,0,fr,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744140579599220912
Sun Jan 07 23:33:51 +0000 2024,1744140319053255043,GDA Photo dump TXT Tomorrow x Together  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/cCEFxWxq6E,0,1,0,0,en,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744140319053255043
Sun Jan 07 23:32:10 +0000 2024,1744139895164297476,GDA Photo dump TXT Tomorrow x Together  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/6XwDw65EjG,0,1,0,0,en,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744139895164297476
Sun Jan 07 23:29:28 +0000 2024,1744139218249736461,GDA Photo dump TXT Tomorrow x Together  #GDA2024 #GDAinJakarta #GoldenDiscAwards2024 #GoldenDiscAwards https://t.co/HcqyIGfQKu,0,0,0,0,en,324212015,1743980379076542895,StaywithHyunie,https://twitter.com/StaywithHyunie/status/1744139218249736461
